RecordNum,process.b1.capacity,process.b2.capacity,process.b3.capacity,process.b4.capacity,property.price,property.product,property.winner,verification.result,verification.time
1,0,0,2,1,59,1,0,FALSE,163.3166667
2,0,0,2,1,59,2,0,FALSE,200.86
3,0,0,2,1,59,4,0,FALSE,154.8888889
4,0,0,2,1,59,6,0,FALSE,108.64
5,0,0,2,1,60,1,0,TRUE,85.46666667
6,0,0,2,1,60,1,3,TRUE,82
7,0,0,2,1,60,1,4,FALSE,154.25
8,0,0,2,1,60,2,0,TRUE,80.95
9,0,0,2,1,60,2,3,TRUE,78
10,0,0,2,1,60,2,4,FALSE,197.01
11,0,0,2,1,60,4,0,TRUE,80.25
12,0,0,2,1,60,4,3,TRUE,77.91666667
13,0,0,2,1,60,4,4,FALSE,144.6944444
14,0,0,2,1,60,6,0,TRUE,88.12
15,0,0,2,1,60,6,3,TRUE,78.84
16,0,0,2,1,60,6,4,TRUE,78.15
17,0,0,2,1,69,3,0,FALSE,112.05
18,0,0,2,1,69,5,0,FALSE,322.0555556
19,0,0,2,1,70,3,0,TRUE,87.1
20,0,0,2,1,70,3,3,TRUE,97.11
21,0,0,2,1,70,3,4,TRUE,80.86
22,0,0,2,1,70,5,0,TRUE,194.4388889
23,0,0,2,1,70,5,3,FALSE,378.8222222
24,0,0,2,1,70,5,4,TRUE,207.7722222
25,0,1,1,1,59,1,0,FALSE,646.675
26,0,1,1,1,59,4,0,FALSE,564.6346154
27,0,1,1,1,59,6,0,FALSE,248.2166667
28,0,1,1,1,60,1,0,FALSE,578.625
29,0,1,1,1,60,4,0,FALSE,523.9615385
30,0,1,1,1,60,6,0,TRUE,90
31,0,1,1,1,60,6,2,TRUE,94.58333333
32,0,1,1,1,60,6,3,FALSE,243.5166667
33,0,1,1,1,60,6,4,FALSE,225.05
34,0,1,1,1,61,1,0,FALSE,608.2
35,0,1,1,1,61,4,0,FALSE,546.3461538
36,0,1,1,1,62,1,0,FALSE,596.475
37,0,1,1,1,62,4,0,FALSE,554.1153846
38,0,1,1,1,63,1,0,FALSE,603.65
39,0,1,1,1,63,4,0,FALSE,553.7692308
40,0,1,1,1,64,1,0,FALSE,532.8
41,0,1,1,1,64,4,0,FALSE,483.4615385
42,0,1,1,1,65,1,0,FALSE,567.975
43,0,1,1,1,65,4,0,FALSE,505.9615385
44,0,1,1,1,66,1,0,FALSE,564.3
45,0,1,1,1,66,4,0,FALSE,496.1730769
46,0,1,1,1,67,1,0,FALSE,588.9
47,0,1,1,1,67,4,0,FALSE,522.6346154
48,0,1,1,1,68,1,0,FALSE,537.075
49,0,1,1,1,68,4,0,FALSE,481.6538462
50,0,1,1,1,69,1,0,FALSE,544.05
51,0,1,1,1,69,3,0,FALSE,178.4
52,0,1,1,1,69,4,0,FALSE,512.3461538
53,0,1,1,1,69,5,0,FALSE,751.1875
54,0,1,1,1,70,1,0,TRUE,518.2
55,0,1,1,1,70,1,2,TRUE,547.725
56,0,1,1,1,70,1,3,FALSE,602.125
57,0,1,1,1,70,1,4,FALSE,588.2
58,0,1,1,1,70,3,0,TRUE,153.5166667
59,0,1,1,1,70,3,2,TRUE,151.1333333
60,0,1,1,1,70,3,3,FALSE,165.4166667
61,0,1,1,1,70,3,4,FALSE,176.7166667
62,0,1,1,1,70,4,0,TRUE,418.0576923
63,0,1,1,1,70,4,2,TRUE,451.1538462
64,0,1,1,1,70,4,3,FALSE,529.0769231
65,0,1,1,1,70,4,4,FALSE,518.3653846
66,0,1,1,1,70,5,0,FALSE,739.475
67,0,1,1,1,71,5,0,FALSE,751.9875
68,0,1,1,1,72,5,0,FALSE,740.4125
69,0,1,1,1,73,5,0,FALSE,719.45
70,0,1,1,1,74,5,0,FALSE,745.5375
71,0,1,1,1,75,5,0,FALSE,734.5625
72,0,1,1,1,76,5,0,FALSE,752.3
73,0,1,1,1,77,5,0,FALSE,725.55
74,0,1,1,1,78,5,0,FALSE,742.825
75,0,1,1,1,79,5,0,FALSE,723.8125
76,0,1,1,1,80,5,0,TRUE,101.7375
77,0,1,1,1,80,5,2,FALSE,770.2375
78,0,1,1,1,80,5,3,FALSE,770.75
79,0,1,1,1,80,5,4,TRUE,106.3375
80,0,1,2,0,59,1,0,FALSE,513.2333333
81,0,1,2,0,59,2,0,FALSE,1527.53
82,0,1,2,0,59,4,0,FALSE,476.3222222
83,0,1,2,0,59,6,0,FALSE,145.4
84,0,1,2,0,60,1,0,FALSE,443.0166667
85,0,1,2,0,60,2,0,FALSE,1137.465
86,0,1,2,0,60,4,0,FALSE,419.8555556
87,0,1,2,0,60,6,0,TRUE,91.805
88,0,1,2,0,60,6,2,TRUE,85.25
89,0,1,2,0,60,6,3,FALSE,134.325
90,0,1,2,0,61,1,0,FALSE,462.0583333
91,0,1,2,0,61,2,0,FALSE,1293.665
92,0,1,2,0,61,4,0,FALSE,441.8388889
93,0,1,2,0,62,1,0,FALSE,463.7083333
94,0,1,2,0,62,2,0,FALSE,1245.215
95,0,1,2,0,62,4,0,FALSE,434.75
96,0,1,2,0,63,1,0,FALSE,463.075
97,0,1,2,0,63,2,0,FALSE,1290.88
98,0,1,2,0,63,4,0,FALSE,455.2666667
99,0,1,2,0,64,1,0,FALSE,389.3
100,0,1,2,0,64,2,0,FALSE,991.07
101,0,1,2,0,64,4,0,FALSE,362.8111111
102,0,1,2,0,65,1,0,FALSE,411.825
103,0,1,2,0,65,2,0,FALSE,1106.455
104,0,1,2,0,65,4,0,FALSE,384.3388889
105,0,1,2,0,66,1,0,FALSE,398.4833333
106,0,1,2,0,66,2,0,FALSE,1098.255
107,0,1,2,0,66,4,0,FALSE,377.3944444
108,0,1,2,0,67,1,0,FALSE,428.8333333
109,0,1,2,0,67,2,0,FALSE,1236.05
110,0,1,2,0,67,4,0,FALSE,417.1388889
111,0,1,2,0,68,1,0,FALSE,395.4583333
112,0,1,2,0,68,2,0,FALSE,917.335
113,0,1,2,0,68,4,0,FALSE,363.2555556
114,0,1,2,0,69,1,0,FALSE,412.6666667
115,0,1,2,0,69,2,0,FALSE,1020.25
116,0,1,2,0,69,3,0,FALSE,109.71
117,0,1,2,0,69,4,0,FALSE,399.2777778
118,0,1,2,0,70,1,0,TRUE,383.1916667
119,0,1,2,0,70,1,2,TRUE,412.525
120,0,1,2,0,70,1,3,FALSE,455.6166667
121,0,1,2,0,70,2,0,FALSE,1013.485
122,0,1,2,0,70,3,0,TRUE,101.765
123,0,1,2,0,70,3,2,TRUE,94.635
124,0,1,2,0,70,3,3,FALSE,99.945
125,0,1,2,0,70,4,0,TRUE,348.1555556
126,0,1,2,0,70,4,2,TRUE,375.7333333
127,0,1,2,0,70,4,3,FALSE,429.9388889
128,0,1,2,0,71,2,0,FALSE,1123.56
129,0,1,2,0,72,2,0,FALSE,1087.23
130,0,1,2,0,73,2,0,FALSE,1260.775
131,0,1,2,0,74,2,0,FALSE,1203.43
132,0,1,2,0,75,2,0,FALSE,1345.56
133,0,1,2,0,76,2,0,FALSE,979.395
134,0,1,2,0,77,2,0,FALSE,1127.495
135,0,1,2,0,78,2,0,FALSE,1113.075
136,0,1,2,0,79,2,0,FALSE,1276.795
137,0,1,2,0,80,2,0,TRUE,119.28
138,0,1,2,0,80,2,2,TRUE,312.645
139,0,1,2,0,80,2,3,TRUE,120.82
140,0,1,2,1,59,1,0,FALSE,665.2261905
141,0,1,2,1,59,2,0,FALSE,1716.807143
142,0,1,2,1,59,4,0,FALSE,585.787037
143,0,1,2,1,59,6,0,FALSE,256.5428571
144,0,1,2,1,60,1,0,FALSE,616.9166667
145,0,1,2,1,60,2,0,FALSE,1300.964286
146,0,1,2,1,60,4,0,FALSE,552.8611111
147,0,1,2,1,60,6,0,TRUE,92.24285714
148,0,1,2,1,60,6,2,TRUE,94.55714286
149,0,1,2,1,60,6,3,FALSE,249.0785714
150,0,1,2,1,60,6,4,FALSE,228.8428571
