age,annual_income,employment_length,loan_interest_rate,loan_percent_income,person_home_ownership,person_default_on_file,person_cred_history_length,loan_status
21,10000,2,8.630,0.450,OWN,N,2,1
24,67746,8,12.680,0.490,RENT,N,3,1
24,65000,6,9.990,0.500,RENT,N,3,1
26,95000,7,14.170,0.330,RENT,Y,3,1
25,75000,4,16.890,0.400,RENT,Y,4,1
26,300000,9,10.380,0.030,OWN,N,4,0
25,300000,9,16.450,0.060,MORTGAGE,N,3,0
26,260000,10,10.990,0.110,OWN,N,3,0
25,259000,9,14.420,0.080,MORTGAGE,Y,2,0
24,234000,8,8.880,0.090,OWN,N,4,0
26,234000,10,12.180,0.090,MORTGAGE,N,3,0
24,12960,1,9.910,0.280,MORTGAGE,N,3,1
26,226000,4,11.490,0.090,MORTGAGE,N,4,0
25,225000,0,19.910,0.130,MORTGAGE,Y,2,0
25,50000,4,5.990,0.500,RENT,N,2,1
26,47000,0,15.280,0.530,RENT,Y,2,1
24,200000,8,13.490,0.060,MORTGAGE,N,2,0
25,54000,3,16.820,0.460,RENT,N,4,1
22,56400,2,14.960,0.440,RENT,Y,3,1
26,66000,3,11.580,0.380,RENT,N,4,1
24,184992,7,14.460,0.120,RENT,Y,4,0
23,14400,2,16.700,0.280,OWN,N,2,1
24,87000,8,14.840,0.290,RENT,N,3,0
21,15000,0,7.900,0.410,OWN,N,2,1
26,180000,0,8.000,0.060,OWN,N,4,0
25,92000,6,12.690,0.270,RENT,N,3,0
25,175000,10,7.900,0.050,MORTGAGE,N,2,0
25,15000,2,15.310,0.120,OWN,Y,4,0
24,92000,1,16.770,0.270,RENT,Y,4,1
21,15000,0,11.540,0.210,OWN,Y,3,1
25,96000,2,15.680,0.260,RENT,Y,4,1
24,97908,8,12.610,0.260,RENT,Y,2,1
24,158004,0,14.590,0.160,RENT,Y,2,1
24,110000,7,15.700,0.230,RENT,Y,2,0
22,15360,7,12.530,0.160,OWN,N,3,1
24,168288,5,11.120,0.010,RENT,N,3,0
24,15600,5,6.390,0.210,OWN,N,4,1
25,165000,0,19.740,0.150,MORTGAGE,N,4,0
24,185000,7,12.680,0.140,RENT,Y,2,0
26,78000,0,17.560,0.310,RENT,Y,3,1
22,16800,0,13.850,0.280,MORTGAGE,Y,2,1
25,115200,0,11.360,0.210,RENT,N,2,0
22,108000,1,14.960,0.220,RENT,Y,3,1
22,18000,1,7.490,0.190,OWN,N,4,1
21,18000,3,14.540,0.270,OWN,Y,4,1
24,18000,0,6.540,0.350,OWN,N,4,1
24,135000,4,13.790,0.180,RENT,N,2,0
24,18287,3,11.990,0.160,OWN,N,3,1
25,43000,9,13.110,0.510,RENT,N,2,1
24,70000,5,9.990,0.310,RENT,N,3,1
